account,sector,year_established,revenue,employees,office_location,subsidiary_of,Table,Field,Description,product,series,sales_price,opportunity_id,sales_agent,deal_stage,engage_date,close_date,close_value,manager,regional_office
,,,,,,,,,,GTX Basic,,,RE3UNESR,Kary Hendrixson,Engaging,2017-05-21,,,,
,,,,,,,,,,GTX Plus Pro,,,PPUSV3RG,Kary Hendrixson,Engaging,2017-05-21,,,,
Dontechi,,,,,,,,,,MG Advanced,,,UQ67214Z,Lajuana Vencill,Won,2017-05-21,2017-08-20,3250.0,,
Treequote,,,,,,,,,,MG Advanced,,,HDITQL1S,Marty Freudenburg,Won,2017-05-21,2017-09-05,2785.0,,
Scotfind,,,,,,,,,,MG Special,,,1WPONGOS,Maureen Marcano,Won,2017-05-21,2017-08-11,49.0,,
Inity,,,,,,,,,,MG Advanced,,,UF0S02A4,Moses Frase,Lost,2017-05-21,2017-05-25,0.0,,
Bioholding,,,,,,,,,,GTX Basic,,,ZG1DFNPW,Moses Frase,Won,2017-05-21,2017-09-15,547.0,,
Bioholding,,,,,,,,,,MG Special,,,SS9FXCS2,Niesha Huffines,Won,2017-05-21,2017-08-01,57.0,,
Fasehatice,,,,,,,,,,MG Special,,,SHE8LB0Y,Rosalina Dieter,Lost,2017-05-21,2017-08-08,0.0,,
Y-corporation,,,,,,,,,,MG Special,,,9D6NTQ16,Rosalina Dieter,Lost,2017-05-21,2017-08-06,0.0,,
Sonron,,,,,,,,,,MG Advanced,,,59N6QWQM,Vicki Laflamme,Lost,2017-05-21,2017-05-23,0.0,,
Cheers,,,,,,,,,,GTX Basic,,,ZHKJIJA1,Vicki Laflamme,Won,2017-05-21,2017-08-05,572.0,,
Ontomedia,,,,,,,,,,MG Special,,,SDL8MJ4R,Violet Mclelland,Won,2017-05-21,2017-06-10,48.0,,
Isdom,,,,,,,,,,GTX Plus Pro,,,G86OKJFV,Anna Snelling,Lost,2017-05-22,2017-05-31,0.0,,
Groovestreet,,,,,,,,,,GTX Plus Basic,,,WM7XURV6,Corliss Cosme,Engaging,2017-05-22,,,,
,,,,,,,,,,MG Advanced,,,6I125KPN,Daniell Hammack,Engaging,2017-05-22,,,,
Conecom,,,,,,,,,,MG Advanced,,,HUCB9WIQ,Darcel Schlecht,Lost,2017-05-22,2017-09-08,0.0,,
Kan-code,,,,,,,,,,GTX Basic,,,R8CMI00I,Garret Kinder,Won,2017-05-22,2017-06-06,555.0,,
Konex,,,,,,,,,,GTX Basic,,,T7HHH8HK,Garret Kinder,Won,2017-05-22,2017-09-02,476.0,,
,,,,,,,,,,MG Advanced,,,2YLXKON1,Hayden Neloms,Engaging,2017-05-22,,,,
Labdrill,,,,,,,,,,GTX Plus Basic,,,407NLHJH,James Ascencio,Won,2017-05-22,2017-06-14,1090.0,,
Opentech,,,,,,,,,,MG Special,,,ZJQKUIZ4,Kary Hendrixson,Engaging,2017-05-22,,,,
Condax,,,,,,,,,,GTX Basic,,,KD63LC6D,Kary Hendrixson,Won,2017-05-22,2017-09-25,584.0,,
,,,,,,,,,,GTX Plus Pro,,,WS3BIQ4S,Markita Hansen,Engaging,2017-05-22,,,,
Finjob,,,,,,,,,,GTK 500,,,TB27K4GC,Markita Hansen,Won,2017-05-22,2017-08-14,24745.0,,
,,,,,,,,,,GTX Plus Basic,,,U177IWW0,Maureen Marcano,Engaging,2017-05-22,,,,
Condax,,,,,,,,,,GTXPro,,,VN8YFKTN,Reed Clapper,Lost,2017-05-22,2017-05-25,0.0,,
Zotware,,,,,,,,,,GTX Basic,,,NFFS1KSK,Reed Clapper,Won,2017-05-22,2017-05-27,512.0,,
,,,,,,,,,,GTXPro,,,SWEQFKRF,Rosie Papadopoulos,Engaging,2017-05-22,,,,
Zoomit,,,,,,,,,,MG Special,,,V1T47SKL,Vicki Laflamme,Won,2017-05-22,2017-06-07,60.0,,
Hottechi,,,,,,,,,,GTXPro,,,LFPY1Z14,Zane Levy,Lost,2017-05-22,2017-09-07,0.0,,
Dalttechnology,,,,,,,,,,GTX Plus Basic,,,M6IGBW79,Zane Levy,Won,2017-05-22,2017-08-08,1088.0,,
,,,,,,,,,,GTX Plus Basic,,,HYSOZRCG,Boris Faz,Engaging,2017-05-23,,,,
,,,,,,,,,,GTX Plus Pro,,,41RF80KQ,Boris Faz,Engaging,2017-05-23,,,,
,,,,,,,,,,MG Special,,,CYB0NUCJ,Cassey Cress,Engaging,2017-05-23,,,,
The New York Inquirer,,,,,,,,,,GTX Basic,,,2QGI573A,Corliss Cosme,Won,2017-05-23,2017-05-26,463.0,,
Gekko & Co,,,,,,,,,,GTX Plus Basic,,,QW4QPPSY,Donn Cantrell,Won,2017-05-23,2017-08-24,877.0,,
Hottechi,,,,,,,,,,MG Advanced,,,99L2TNR5,Gladys Colclough,Won,2017-05-23,2017-08-24,3339.0,,
Condax,,,,,,,,,,GTX Plus Basic,,,3H3TNCP5,James Ascencio,Engaging,2017-05-23,,,,
Finhigh,,,,,,,,,,MG Special,,,J8Y1OGY2,Jonathan Berthelot,Lost,2017-05-23,2017-05-28,0.0,,
Funholding,,,,,,,,,,GTXPro,,,7SJD7M9K,Jonathan Berthelot,Won,2017-05-23,2017-08-20,4180.0,,
Labdrill,,,,,,,,,,GTX Plus Basic,,,OKNOWHS3,Kary Hendrixson,Lost,2017-05-23,2017-08-02,0.0,,
Hatfan,,,,,,,,,,GTX Basic,,,VO8WTDHE,Markita Hansen,Lost,2017-05-23,2017-05-26,0.0,,
Hatfan,,,,,,,,,,GTX Plus Pro,,,5FX5TX9L,Markita Hansen,Won,2017-05-23,2017-08-14,4642.0,,
Warephase,,,,,,,,,,MG Advanced,,,TLT4JJ0U,Marty Freudenburg,Lost,2017-05-23,2017-09-13,0.0,,
Globex Corporation,,,,,,,,,,GTX Basic,,,RA77E84P,Niesha Huffines,Won,2017-05-23,2017-09-08,578.0,,
Gogozoom,,,,,,,,,,MG Advanced,,,7U225819,Versie Hillebrand,Won,2017-05-23,2017-08-11,3285.0,,
Plexzap,,,,,,,,,,MG Special,,,075SHVO3,Vicki Laflamme,Lost,2017-05-23,2017-08-12,0.0,,
Xx-zobam,,,,,,,,,,GTX Plus Basic,,,HHNFD7DX,Violet Mclelland,Lost,2017-05-23,2017-08-29,0.0,,
Cheers,,,,,,,,,,GTXPro,,,PA55AGYL,Zane Levy,Won,2017-05-23,2017-05-31,5212.0,,
Donware,,,,,,,,,,GTX Basic,,,V93ZA48C,Cassey Cress,Won,2017-05-24,2017-09-24,614.0,,
Bubba Gump,,,,,,,,,,GTX Plus Pro,,,TR3TXXHF,Cassey Cress,Won,2017-05-24,2017-09-13,5778.0,,
Labdrill,,,,,,,,,,GTX Basic,,,11V16SZZ,Corliss Cosme,Engaging,2017-05-24,,,,
Bubba Gump,,,,,,,,,,MG Advanced,,,SURL8H49,Donn Cantrell,Won,2017-05-24,2017-09-10,3521.0,,
,,,,,,,,,,GTXPro,,,3IWUUUCN,Elease Gluck,Engaging,2017-05-24,,,,
Kinnamplus,,,,,,,,,,GTX Plus Pro,,,POXC3DA1,Garret Kinder,Lost,2017-05-24,2017-09-21,0.0,,
Rundofase,,,,,,,,,,GTXPro,,,KMGXUADZ,Gladys Colclough,Won,2017-05-24,2017-08-06,5109.0,,
,,,,,,,,,,GTX Plus Pro,,,K7TV5UBZ,James Ascencio,Engaging,2017-05-24,,,,
Doncon,,,,,,,,,,GTX Basic,,,X5IZZ69D,James Ascencio,Lost,2017-05-24,2017-06-20,0.0,,
Lexiqvolax,,,,,,,,,,GTX Plus Pro,,,X58FLJ8K,James Ascencio,Won,2017-05-24,2017-09-18,5190.0,,
Scotfind,,,,,,,,,,GTX Basic,,,IDBXD4OU,Kary Hendrixson,Lost,2017-05-24,2017-08-22,0.0,,
Zoomit,,,,,,,,,,GTXPro,,,TDNJDFU6,Kary Hendrixson,Lost,2017-05-24,2017-08-13,0.0,,
Dontechi,,,,,,,,,,MG Advanced,,,KIMUGBN5,Lajuana Vencill,Lost,2017-05-24,2017-08-14,0.0,,
Y-corporation,,,,,,,,,,MG Advanced,,,4G0X8VHP,Markita Hansen,Engaging,2017-05-24,,,,
,,,,,,,,,,MG Special,,,6BIZ2MB6,Maureen Marcano,Engaging,2017-05-24,,,,
Goodsilron,,,,,,,,,,GTX Plus Basic,,,7U81B9AQ,Maureen Marcano,Won,2017-05-24,2017-09-27,940.0,,
dambase,,,,,,,,,,GTXPro,,,WGSS08LF,Niesha Huffines,Lost,2017-05-24,2017-08-26,0.0,,
Goodsilron,,,,,,,,,,GTX Basic,,,WC8KQJV9,Rosalina Dieter,Won,2017-05-24,2017-08-06,647.0,,
Condax,,,,,,,,,,GTX Plus Pro,,,FENOSL5C,Vicki Laflamme,Won,2017-05-24,2017-08-17,6206.0,,
Massive Dynamic,,,,,,,,,,MG Advanced,,,PQ3CLZ2N,Violet Mclelland,Won,2017-05-24,2017-09-10,3158.0,,
Donware,,,,,,,,,,MG Advanced,,,N4ZJ2PJT,Wilburn Farren,Won,2017-05-24,2017-08-19,2699.0,,
Domzoom,,,,,,,,,,MG Special,,,32A5TJ6D,Anna Snelling,Lost,2017-05-25,2017-08-13,0.0,,
Plussunin,,,,,,,,,,GTX Plus Basic,,,HZCF65PU,Boris Faz,Won,2017-05-25,2017-08-04,1302.0,,
Bioplex,,,,,,,,,,MG Advanced,,,TCTLOMKP,Cassey Cress,Won,2017-05-25,2017-06-27,2993.0,,
Betatech,,,,,,,,,,GTX Basic,,,O0NCMYX9,Cecily Lampkin,Won,2017-05-25,2017-06-05,460.0,,
Inity,,,,,,,,,,GTX Plus Pro,,,0STR2QEA,Corliss Cosme,Engaging,2017-05-25,,,,
Konex,,,,,,,,,,GTX Basic,,,HELQUZNO,Corliss Cosme,Won,2017-05-25,2017-09-25,616.0,,
Scottech,,,,,,,,,,MG Advanced,,,V7DHDF8V,Darcel Schlecht,Lost,2017-05-25,2017-08-07,0.0,,
Globex Corporation,,,,,,,,,,GTXPro,,,A3OROHUS,Darcel Schlecht,Won,2017-05-25,2017-08-14,4270.0,,
Ontomedia,,,,,,,,,,GTXPro,,,CXYWGOPF,Donn Cantrell,Lost,2017-05-25,2017-08-21,0.0,,
Treequote,,,,,,,,,,GTXPro,,,DLQTM07N,Gladys Colclough,Won,2017-05-25,2017-08-22,4787.0,,
,,,,,,,,,,MG Advanced,,,Y2EC6KYG,Hayden Neloms,Engaging,2017-05-25,,,,
Statholdings,,,,,,,,,,GTX Basic,,,SUXDAQNV,Jonathan Berthelot,Lost,2017-05-25,2017-08-28,0.0,,
Hottechi,,,,,,,,,,MG Special,,,ZT2NKCV5,Jonathan Berthelot,Won,2017-05-25,2017-05-31,55.0,,
Funholding,,,,,,,,,,MG Advanced,,,I4YPNNTU,Jonathan Berthelot,Won,2017-05-25,2017-08-09,3808.0,,
,,,,,,,,,,GTXPro,,,2PI827MA,Kary Hendrixson,Engaging,2017-05-25,,,,
Rundofase,,,,,,,,,,GTX Basic,,,KOYW9WIV,Lajuana Vencill,Won,2017-05-25,2017-09-23,483.0,,
Warephase,,,,,,,,,,MG Advanced,,,JRAAPD3L,Lajuana Vencill,Won,2017-05-25,2017-09-16,3727.0,,
Faxquote,,,,,,,,,,GTXPro,,,21JDZDNJ,Markita Hansen,Won,2017-05-25,2017-08-14,4738.0,,
Ron-tech,,,,,,,,,,GTX Plus Basic,,,EP0H3SJO,Marty Freudenburg,Won,2017-05-25,2017-08-04,1275.0,,
Treequote,,,,,,,,,,MG Advanced,,,GIP11NY3,Marty Freudenburg,Won,2017-05-25,2017-08-19,3428.0,,
Conecom,,,,,,,,,,MG Special,,,7X1D49TU,Moses Frase,Lost,2017-05-25,2017-09-11,0.0,,
Mathtouch,,,,,,,,,,GTXPro,,,PDXFONE0,Reed Clapper,Won,2017-05-25,2017-06-07,5420.0,,
Dalttechnology,,,,,,,,,,MG Special,,,77WSI0TH,Rosalina Dieter,Lost,2017-05-25,2017-08-28,0.0,,
Dontechi,,,,,,,,,,MG Special,,,DJDVV89L,Versie Hillebrand,Won,2017-05-25,2017-06-11,59.0,,
Singletechno,,,,,,,,,,GTX Plus Pro,,,ZK4S74FD,Vicki Laflamme,Engaging,2017-05-25,,,,
Genco Pura Olive Oil Company,,,,,,,,,,MG Special,,,E5V4WT18,Vicki Laflamme,Engaging,2017-05-25,,,,
Dontechi,,,,,,,,,,GTX Plus Basic,,,CYSF0YQN,Anna Snelling,Lost,2017-05-26,2017-08-15,0.0,,
Rangreen,,,,,,,,,,MG Advanced,,,HEK08UMI,Anna Snelling,Lost,2017-05-26,2017-08-19,0.0,,
,,,,,,,,,,MG Advanced,,,7AXR8U55,Boris Faz,Engaging,2017-05-26,,,,
Silis,,,,,,,,,,GTX Basic,,,GRRY4DQR,Boris Faz,Won,2017-05-26,2017-09-15,561.0,,
Zathunicon,,,,,,,,,,GTX Plus Basic,,,S3JAC8GQ,Boris Faz,Won,2017-05-26,2017-08-10,1354.0,,
The New York Inquirer,,,,,,,,,,MG Special,,,E3JP7HCX,Cassey Cress,Won,2017-05-26,2017-09-18,44.0,,
Mathtouch,,,,,,,,,,GTX Basic,,,FF5G00YD,Corliss Cosme,Won,2017-05-26,2017-09-18,560.0,,
Donquadtech,,,,,,,,,,GTXPro,,,5975TDTI,Corliss Cosme,Won,2017-05-26,2017-06-09,5324.0,,
,,,,,,,,,,MG Advanced,,,7X0T2QOL,Hayden Neloms,Engaging,2017-05-26,,,,
,,,,,,,,,,MG Advanced,,,7KKFQ7LX,Hayden Neloms,Engaging,2017-05-26,,,,
Zoomit,,,,,,,,,,GTX Plus Basic,,,IBZI95HI,James Ascencio,Engaging,2017-05-26,,,,
Conecom,,,,,,,,,,GTXPro,,,3ATYY665,Kami Bicknell,Engaging,2017-05-26,,,,
Faxquote,,,,,,,,,,GTXPro,,,GZU4ZSFE,Kami Bicknell,Won,2017-05-26,2017-09-23,4924.0,,
Golddex,,,,,,,,,,GTX Basic,,,E4KL4NGF,Kary Hendrixson,Won,2017-05-26,2017-08-07,571.0,,
Konex,,,,,,,,,,MG Advanced,,,QCH2R1VO,Kary Hendrixson,Won,2017-05-26,2017-08-12,4022.0,,
Rundofase,,,,,,,,,,GTX Basic,,,SH6F6COK,Lajuana Vencill,Lost,2017-05-26,2017-08-12,0.0,,
Groovestreet,,,,,,,,,,MG Special,,,KOJ4SQ1T,Maureen Marcano,Lost,2017-05-26,2017-08-22,0.0,,
Faxquote,,,,,,,,,,GTX Plus Basic,,,DMUQAWQH,Maureen Marcano,Won,2017-05-26,2017-06-12,1030.0,,
Bioholding,,,,,,,,,,MG Advanced,,,C2RL3DUQ,Moses Frase,Lost,2017-05-26,2017-08-09,0.0,,
Streethex,,,,,,,,,,MG Special,,,2LTS2CL8,Niesha Huffines,Lost,2017-05-26,2017-05-31,0.0,,
Codehow,,,,,,,,,,MG Special,,,113O9JCA,Versie Hillebrand,Lost,2017-05-26,2017-09-09,0.0,,
Hatfan,,,,,,,,,,GTX Basic,,,54XWHO19,Vicki Laflamme,Lost,2017-05-26,2017-08-03,0.0,,
Kan-code,,,,,,,,,,GTXPro,,,09RN3MHV,Vicki Laflamme,Won,2017-05-26,2017-09-21,5074.0,,
Zoomit,,,,,,,,,,MG Special,,,EPSIB2JR,Violet Mclelland,Engaging,2017-05-26,,,,
Vehement Capital Partners,,,,,,,,,,GTX Plus Pro,,,YW14K7PE,Wilburn Farren,Won,2017-05-26,2017-09-23,5198.0,,
,,,,,,,,,,GTX Basic,,,G1L2YY5P,Zane Levy,Engaging,2017-05-26,,,,
Faxquote,,,,,,,,,,GTX Plus Pro,,,9UYUV724,Zane Levy,Lost,2017-05-26,2017-09-06,0.0,,
Betatech,,,,,,,,,,MG Special,,,UZI6MKVR,Anna Snelling,Lost,2017-05-27,2017-08-24,0.0,,
Conecom,,,,,,,,,,GTX Basic,,,N1H9ILZ9,Anna Snelling,Won,2017-05-27,2017-09-03,576.0,,
Stanredtax,,,,,,,,,,MG Special,,,V8RYC18P,Anna Snelling,Won,2017-05-27,2017-08-21,57.0,,
Konex,,,,,,,,,,GTXPro,,,5OQELHMF,Cassey Cress,Lost,2017-05-27,2017-08-14,0.0,,
Condax,,,,,,,,,,MG Advanced,,,NCF4DT7H,Cecily Lampkin,Lost,2017-05-27,2017-06-05,0.0,,
Dontechi,,,,,,,,,,GTXPro,,,DC2JL47C,Daniell Hammack,Engaging,2017-05-27,,,,
,,,,,,,,,,GTXPro,,,GMN9KQN2,Daniell Hammack,Engaging,2017-05-27,,,,
Codehow,,,,,,,,,,GTXPro,,,L9WWFYQW,Darcel Schlecht,Lost,2017-05-27,2017-08-18,0.0,,
Scottech,,,,,,,,,,GTXPro,,,AR2T4LAR,Darcel Schlecht,Won,2017-05-27,2017-08-22,4432.0,,
Kinnamplus,,,,,,,,,,GTX Basic,,,GPC8PLM7,Donn Cantrell,Won,2017-05-27,2017-09-02,481.0,,
Y-corporation,,,,,,,,,,GTX Plus Pro,,,YA822MOB,James Ascencio,Lost,2017-05-27,2017-08-22,0.0,,
Newex,,,,,,,,,,GTXPro,,,JBCQ1ODR,James Ascencio,Won,2017-05-27,2017-08-28,5293.0,,
Codehow,,,,,,,,,,GTXPro,,,M26BSX5S,Jonathan Berthelot,Lost,2017-05-27,2017-08-06,0.0,,
Hottechi,,,,,,,,,,GTX Plus Pro,,,PLYYX5CD,Jonathan Berthelot,Won,2017-05-27,2017-08-17,5769.0,,
Globex Corporation,,,,,,,,,,GTXPro,,,JP2EY6QU,Jonathan Berthelot,Won,2017-05-27,2017-09-02,4929.0,,
Rundofase,,,,,,,,,,GTXPro,,,48INT6OA,Jonathan Berthelot,Won,2017-05-27,2017-08-05,4924.0,,
Blackzim,,,,,,,,,,GTX Plus Basic,,,EVDMSM4N,Kami Bicknell,Lost,2017-05-27,2017-08-14,0.0,,
Faxquote,,,,,,,,,,GTX Plus Pro,,,9FH4OP4U,Kary Hendrixson,Won,2017-05-27,2017-08-04,5312.0,,
Nam-zim,,,,,,,,,,MG Special,,,N128I4H8,Kary Hendrixson,Won,2017-05-27,2017-06-07,66.0,,
Toughzap,,,,,,,,,,GTX Plus Basic,,,8NKLCSES,Marty Freudenburg,Won,2017-05-27,2017-06-18,1115.0,,
Conecom,,,,,,,,,,MG Advanced,,,1ZMWMU21,Marty Freudenburg,Won,2017-05-27,2017-08-23,3407.0,,
Cancity,,,,,,,,,,GTX Basic,,,R617R51D,Niesha Huffines,Won,2017-05-27,2017-09-03,540.0,,
Acme Corporation,,,,,,,,,,GTX Plus Basic,,,W8E2YLNY,Reed Clapper,Won,2017-05-27,2017-09-04,1095.0,,
Silis,,,,,,,,,,GTX Plus Basic,,,TX9VFL4J,Reed Clapper,Won,2017-05-27,2017-08-23,1019.0,,
Green-Plus,,,,,,,,,,GTX Plus Basic,,,5ELX1QYM,Vicki Laflamme,Lost,2017-05-27,2017-05-30,0.0,,
Scotfind,,,,,,,,,,GTXPro,,,RTQVKK41,Vicki Laflamme,Lost,2017-05-27,2017-08-17,0.0,,
Green-Plus,,,,,,,,,,GTXPro,,,9DEDEQ5O,Vicki Laflamme,Won,2017-05-27,2017-09-14,4477.0,,
Hatfan,,,,,,,,,,GTXPro,,,Z8JLMCOM,Vicki Laflamme,Won,2017-05-27,2017-06-02,4644.0,,
Finhigh,,,,,,,,,,GTX Basic,,,1O58TWRZ,Anna Snelling,Lost,2017-05-28,2017-08-20,0.0,,
Cancity,,,,,,,,,,GTX Plus Basic,,,RHOZIG9P,Anna Snelling,Lost,2017-05-28,2017-06-13,0.0,,
,,,,,,,,,,GTX Plus Pro,,,VXTVHC1Z,Boris Faz,Engaging,2017-05-28,,,,
Zotware,,,,,,,,,,GTX Plus Basic,,,52Q1PYGW,Boris Faz,Won,2017-05-28,2017-06-08,940.0,,
Acme Corporation,,,,,,,,,,GTXPro,,,56ZJUSNG,Daniell Hammack,Won,2017-05-28,2017-06-07,5378.0,,
Kan-code,,,,,,,,,,GTXPro,,,Y92RU9V8,Daniell Hammack,Won,2017-05-28,2017-06-15,4712.0,,
Bioholding,,,,,,,,,,GTX Plus Basic,,,SXV6VZVC,Darcel Schlecht,Won,2017-05-28,2017-08-25,1118.0,,
Ganjaflex,,,,,,,,,,GTX Plus Pro,,,BGY307FC,Donn Cantrell,Won,2017-05-28,2017-08-11,5695.0,,
Yearin,,,,,,,,,,GTXPro,,,BAN0BVHW,Donn Cantrell,Won,2017-05-28,2017-08-05,4462.0,,
Plussunin,,,,,,,,,,GTXPro,,,GV9G96Z1,Garret Kinder,Lost,2017-05-28,2017-08-30,0.0,,
Singletechno,,,,,,,,,,MG Advanced,,,Z75R686C,Hayden Neloms,Won,2017-05-28,2017-08-28,3701.0,,
Ontomedia,,,,,,,,,,GTX Plus Basic,,,BO1ZOZG2,Kary Hendrixson,Engaging,2017-05-28,,,,
,,,,,,,,,,GTX Basic,,,OERROEPM,Markita Hansen,Engaging,2017-05-28,,,,
J-Texon,,,,,,,,,,GTX Plus Basic,,,12GLKKV4,Markita Hansen,Won,2017-05-28,2017-06-08,941.0,,
Hatfan,,,,,,,,,,GTX Plus Basic,,,VDD7H92Q,Maureen Marcano,Won,2017-05-28,2017-06-05,1171.0,,
Rantouch,,,,,,,,,,GTK 500,,,83JP1K4E,Rosalina Dieter,Won,2017-05-28,2017-08-28,24899.0,,
Rantouch,,,,,,,,,,MG Advanced,,,ME3H0RUJ,Rosalina Dieter,Won,2017-05-28,2017-09-21,3418.0,,
Hottechi,,,,,,,,,,GTX Basic,,,W8E76HJG,Vicki Laflamme,Won,2017-05-28,2017-06-08,537.0,,
,,,,,,,,,,GTXPro,,,MWSPTOQK,Zane Levy,Engaging,2017-05-28,,,,
Rantouch,,,,,,,,,,GTX Plus Basic,,,IMB2N710,Zane Levy,Won,2017-05-28,2017-08-04,1053.0,,
Genco Pura Olive Oil Company,,,,,,,,,,GTX Basic,,,OJBBZHM4,Anna Snelling,Won,2017-05-29,2017-06-11,497.0,,
Zencorporation,,,,,,,,,,GTX Plus Pro,,,2PQORQGO,Boris Faz,Won,2017-05-29,2017-09-13,5714.0,,
Bioholding,,,,,,,,,,GTX Basic,,,I3RW4OMF,Cecily Lampkin,Won,2017-05-29,2017-08-29,611.0,,
Zathunicon,,,,,,,,,,GTXPro,,,RY6T3GLC,Corliss Cosme,Engaging,2017-05-29,,,,
Opentech,,,,,,,,,,GTXPro,,,LG8ZAMCB,Corliss Cosme,Won,2017-05-29,2017-06-11,5642.0,,
Umbrella Corporation,,,,,,,,,,GTXPro,,,XJ8UTM6B,Corliss Cosme,Won,2017-05-29,2017-06-11,5081.0,,
Cancity,,,,,,,,,,GTXPro,,,CVGTFBZE,Darcel Schlecht,Won,2017-05-29,2017-08-02,3985.0,,
Bluth Company,,,,,,,,,,MG Advanced,,,RW02HG5P,Donn Cantrell,Won,2017-05-29,2017-06-11,3313.0,,
Plexzap,,,,,,,,,,MG Advanced,,,7W8CQJ2Z,Elease Gluck,Won,2017-05-29,2017-06-11,3850.0,,
Scottech,,,,,,,,,,GTX Plus Basic,,,M03IHS3P,Gladys Colclough,Won,2017-05-29,2017-08-06,917.0,,
Streethex,,,,,,,,,,MG Special,,,GX3SHSEA,Gladys Colclough,Won,2017-05-29,2017-08-08,56.0,,
,,,,,,,,,,GTX Basic,,,8G3HB5S6,James Ascencio,Engaging,2017-05-29,,,,
Lexiqvolax,,,,,,,,,,MG Advanced,,,9KTHISLX,James Ascencio,Lost,2017-05-29,2017-08-18,0.0,,
Newex,,,,,,,,,,GTXPro,,,Q808L4HZ,James Ascencio,Won,2017-05-29,2017-08-07,5194.0,,
Bioholding,,,,,,,,,,GTX Plus Basic,,,IWQP4M72,Jonathan Berthelot,Lost,2017-05-29,2017-08-29,0.0,,
Dontechi,,,,,,,,,,GTX Plus Basic,,,MPME6VZD,Kami Bicknell,Engaging,2017-05-29,,,,
,,,,,,,,,,GTXPro,,,EUYJDW9C,Kary Hendrixson,Engaging,2017-05-29,,,,
Golddex,,,,,,,,,,GTX Plus Basic,,,3GOXMQPF,Kary Hendrixson,Won,2017-05-29,2017-08-17,1002.0,,
Hottechi,,,,,,,,,,GTX Plus Pro,,,1WZ5N86Q,Kary Hendrixson,Won,2017-05-29,2017-08-17,6042.0,,
Sonron,,,,,,,,,,GTX Plus Pro,,,C3QK8M7F,Markita Hansen,Won,2017-05-29,2017-06-15,4423.0,,
Groovestreet,,,,,,,,,,MG Special,,,9BXXDYH9,Markita Hansen,Won,2017-05-29,2017-08-18,45.0,,
,,,,,,,,,,GTX Basic,,,YRTI0EKE,Rosalina Dieter,Engaging,2017-05-29,,,,
Kan-code,,,,,,,,,,GTK 500,,,4X3H9YD5,Rosalina Dieter,Won,2017-05-29,2017-08-29,25791.0,,
Mathtouch,,,,,,,,,,MG Advanced,,,K83L4L0I,Rosie Papadopoulos,Won,2017-05-29,2017-06-17,2918.0,,
Streethex,,,,,,,,,,GTX Plus Basic,,,E9C7WXQL,Versie Hillebrand,Won,2017-05-29,2017-09-19,959.0,,
,,,,,,,,,,GTXPro,,,UMXZFLO8,Zane Levy,Engaging,2017-05-29,,,,
Green-Plus,,,,,,,,,,GTXPro,,,AAVJHH3M,Zane Levy,Won,2017-05-29,2017-06-06,5532.0,,
Ontomedia,,,,,,,,,,GTX Plus Basic,,,NEVHU7GV,Boris Faz,Lost,2017-05-30,2017-08-07,0.0,,
Xx-zobam,,,,,,,,,,GTXPro,,,POLWB0UX,Corliss Cosme,Won,2017-05-30,2017-06-06,4687.0,,
dambase,,,,,,,,,,GTX Basic,,,ZSHK2ZXD,Darcel Schlecht,Won,2017-05-30,2017-06-21,602.0,,
Condax,,,,,,,,,,GTX Basic,,,PF7GFMLQ,Donn Cantrell,Won,2017-05-30,2017-08-10,595.0,,
Funholding,,,,,,,,,,GTXPro,,,LKMZWCKQ,Gladys Colclough,Lost,2017-05-30,2017-09-06,0.0,,
Zoomit,,,,,,,,,,GTX Basic,,,3D6ZHLF0,Kami Bicknell,Lost,2017-05-30,2017-08-05,0.0,,
Blackzim,,,,,,,,,,MG Advanced,,,3R8PJCCW,Kary Hendrixson,Won,2017-05-30,2017-09-03,2868.0,,
Finhigh,,,,,,,,,,MG Advanced,,,CPWTJ2WC,Marty Freudenburg,Won,2017-05-30,2017-06-03,3236.0,,
Ganjaflex,,,,,,,,,,GTXPro,,,QZLWUJEJ,Reed Clapper,Lost,2017-05-30,2017-05-31,0.0,,
Golddex,,,,,,,,,,GTX Basic,,,NDVZAHYA,Vicki Laflamme,Won,2017-05-30,2017-08-15,524.0,,
Golddex,,,,,,,,,,GTX Plus Pro,,,1R8VKE8O,Vicki Laflamme,Won,2017-05-30,2017-08-15,5631.0,,
,,,,,,,,,,MG Advanced,,,QNVW1NSS,Wilburn Farren,Engaging,2017-05-30,,,,
Sonron,,,,,,,,,,GTX Plus Pro,,,LNX7ULEG,Zane Levy,Won,2017-05-30,2017-08-22,5572.0,,
Condax,,,,,,,,,,GTXPro,,,42N0IWF8,Zane Levy,Won,2017-05-30,2017-06-05,5644.0,,
Zumgoity,,,,,,,,,,GTX Plus Pro,,,N60TC14O,Cecily Lampkin,Lost,2017-05-31,2017-08-05,0.0,,
Donquadtech,,,,,,,,,,GTX Plus Pro,,,V6YYDG56,Daniell Hammack,Lost,2017-05-31,2017-06-16,0.0,,
Inity,,,,,,,,,,GTXPro,,,S1AU0IZX,Darcel Schlecht,Won,2017-05-31,2017-06-04,4192.0,,
Fasehatice,,,,,,,,,,MG Special,,,GFXKHCEM,Elease Gluck,Lost,2017-05-31,2017-09-05,0.0,,
Blackzim,,,,,,,,,,MG Advanced,,,YH2NHVXC,Elease Gluck,Lost,2017-05-31,2017-08-26,0.0,,
